Date,District,Ward,Types of houses,House ownership certificate,Number of floors,Number of bedrooms,Total rooms,Area (m2),Length (m),Width (m),Price (million)/ m2,Total price (million)
08/01/2020,Hoang Mai,Linh Nam,Alley house,No,6,9,16,50,10.00,5.00,94,4700
08/01/2020,Long Bien,Long Bien,Alley house,Yes,5,4,8,40,11.43,3.50,65,2600
08/01/2020,Long Bien,Long Bien,Alley house,Yes,4,6,11,55,11.00,5.00,98.18,5399.9
08/01/2020,Cau Giay,Mai Dich,Alley house,Yes,5,4,8,61,9.38,6.50,68.85,4199.85
08/01/2020,Hoang Mai,Mai Dong,Alley house,No,4,4,8,32,9.14,3.50,71.88,2300.16
08/01/2020,Nam Tu Liem,My Dinh 1,Townhouse,Yes,5,4,10,54,11.25,4.80,87.04,4700.16
08/01/2020,Nam Tu Liem,My Dinh 2,Alley house,Yes,5,5,10,40,11.43,3.50,85,3400
08/01/2020,Dong Da,Nam Dong,Alley house,Yes,5,4,8,35,9.07,3.86,95.71,3349.85
08/01/2020,Cau Giay,Nghia Do,Alley house,Yes,5,3,7,30,10.34,2.90,106.67,3200.1
08/01/2020,Long Bien,Ngoc Thuy,Alley house,No,5,4,8,42.6,8.52,5.00,69.05,2941.53
08/01/2020,Ha Dong,Nguyen Trai,Townhouse,Yes,4,4,9,100,13.33,7.50,145,14500
08/01/2020,Dong Da,O Cho Dua,Townhouse,Yes,5,4,10,60,9.23,6.50,448.33,26899.8
08/01/2020,Ha Dong,Phu Lam,Alley house,Yes,4,3,7,31,8.86,3.50,48.39,1500.09
08/01/2020,Tay Ho,Phu Thuong,Alley house,Yes,5,6,11,40,12.01,3.33,71.25,2850
08/01/2020,Bac Tu Liem,Phuc Dien,Alley house,Yes,4,4,8,37,10.57,3.50,75.68,2800.16
08/01/2020,Long Bien,Phuc Loi,Alley house,Yes,4,2,6,30,9.38,3.20,60.67,1820.1
08/01/2020,Dong Da,Phuong Mai,Townhouse,Yes,8,5,14,46,9.20,5.00,234.78,10799.88
08/01/2020,Ha Dong,Quang Trung,Alley house,Yes,5,4,8,52,11.30,4.60,64.42,3349.84
08/01/2020,Hai Ba Trung,Quynh Loi,Townhouse,Yes,4,4,9,45,8.59,5.24,66.67,3000.15
08/01/2020,Hoang Mai,Tan Mai,Alley house,No,5,4,8,32,9.12,3.51,89.06,2849.92
08/01/2020,Long Bien,Thach Ban,Alley house,Yes,5,3,7,30,10.00,3.00,76.67,2300.1
08/01/2020,Long Bien,Thach Ban,Townhouse,Yes,5,4,10,38,10.83,3.51,105.26,3999.88
08/01/2020,Long Bien,Thach Ban,Alley house,Yes,5,4,8,40,11.43,3.50,85.5,3420
08/01/2020,Thanh Tri,Thanh Liet,Alley house,No,4,4,8,39,11.11,3.51,74.62,2910.18
08/01/2020,Hai Ba Trung,Thanh Luong,Alley house,Yes,5,4,8,36,12.00,3.00,97.22,3499.92
08/01/2020,Thanh Xuan,Thanh Xuan Nam,Townhouse,Yes,4,5,10,44,8.80,5.00,81.82,3600.08
08/01/2020,Hoang Mai,Thinh Liet,Alley house,Yes,5,3,7,30,10.00,3.00,88.33,2649.9
08/01/2020,Hoang Mai,Thinh Liet,Alley house,Yes,5,6,11,37,11.11,3.33,97.3,3600.1
