Date,District,Ward,Types of houses,House ownership certificate,Number of floors,Number of bedrooms,Total rooms,Area (m2),Length (m),Width (m),Price (million)/ m2,Total price (million)
07/25/2020,6,Yen Hoa,1,Yes,5,4,8,41.0,8.37,4.9,148.78,6099.98
07/25/2020,6,Yen Hoa,1,Yes,5,4,8,51.0,9.62,5.3,911.76,46499.76
07/26/2020,12,Bo De,1,Yes,4,3,7,30.0,8.82,3.4,101.67,3050.1
07/26/2020,11,Hoang Van Thu,1,Yes,5,4,8,36.0,10.98,3.28,101.49,3653.64
07/26/2020,11,Hoang Van Thu,1,Yes,5,4,8,40.0,11.43,3.5,67.5,2700.0
07/26/2020,7,Kham Thien,1,No,4,2,6,25.0,6.25,4.0,54.0,1350.0
07/26/2020,7,Khuong Thuong,1,Yes,5,3,7,35.0,9.46,3.7,77.14,2699.9
07/26/2020,7,Khuong Thuong,1,Yes,4,4,8,40.0,11.56,3.46,165.0,6600.0
07/26/2020,15,Kim Giang,1,Yes,5,3,7,36.0,11.76,3.06,68.06,2450.16
07/26/2020,7,Lang Ha,1,No,5,3,7,30.0,10.0,3.0,125.0,3750.0
07/26/2020,7,Lang Ha,1,Yes,5,3,7,35.0,10.03,3.49,80.0,2800.0
07/26/2020,7,Lang Ha,1,no,5,5,10,56.0,8.62,6.5,139.09,7789.04
07/26/2020,11,Linh Nam,2,Yes,4,4,9,70.0,10.77,6.5,57.14,3999.8
07/26/2020,6,Mai Dich,2,Yes,6,6,13,50.0,10.0,5.0,200.0,10000.0
07/26/2020,9,Minh Khai,1,Yes,4,3,7,31.0,8.86,3.5,61.29,1899.99
07/26/2020,9,Minh Khai,1,Yes,4,3,7,45.0,7.83,5.75,55.56,2500.2
07/26/2020,13,My Dinh 1,2,Yes,5,4,10,40.0,12.01,3.33,90.0,3600.0
07/26/2020,12,Ngoc Thuy,1,Yes,4,5,10,36.0,10.29,3.5,82.78,2980.08
07/26/2020,8,Phu La,2,Yes,5,4,10,50.0,10.0,5.0,108.0,5400.0
07/26/2020,7,Quang Trung,1,No,5,3,7,31.0,7.95,3.9,93.55,2900.05
07/26/2020,11,Tan Mai,1,Yes,5,6,11,45.0,9.0,5.0,72.22,3249.9
07/26/2020,9,Thanh Nhan,1,Yes,5,4,8,35.0,10.0,3.5,104.29,3650.15
07/26/2020,11,Thinh Liet,3,Yes,5,5,13,63.0,9.69,6.5,125.4,7900.2
07/26/2020,7,Thinh Quang,2,Yes,5,4,10,30.0,10.0,3.0,176.67,5300.1
07/26/2020,7,Thinh Quang,1,Yes,4,4,8,34.0,9.44,3.6,202.94,6899.96
07/26/2020,14,Thuy Khue,1,Yes,6,4,8,40.0,12.01,3.33,113.75,4550.0
07/26/2020,6,Yen Hoa,1,Yes,5,4,8,33.0,9.43,3.5,100.0,3300.0
07/26/2020,6,Yen Hoa,1,Yes,4,4,8,73.0,11.23,6.5,79.45,5799.85
07/26/2020,11,Yen So,1,No,4,3,7,35.0,10.0,3.5,71.43,2500.05
07/27/2020,9,Bach Mai,1,Yes,5,4,8,40.0,11.43,3.5,62.5,2500.0
07/27/2020,4,Doi Can,1,Yes,4,3,7,45.0,9.0,5.0,60.0,2700.0
07/27/2020,11,Hoang Van Thu,1,No,5,3,7,35.0,10.0,3.5,71.43,2500.05
07/27/2020,15,Khuong Trung,1,Yes,3,4,8,57.0,8.77,6.5,124.56,7099.92
07/27/2020,15,Khuong Trung,2,Yes,7,6,14,75.0,9.09,8.25,130.67,9800.25
07/27/2020,15,Khuong Trung,1,Yes,4,3,7,100.0,14.04,7.12,55.0,5500.0
07/27/2020,8,Kien Hung,3,Yes,3,3,8,53.0,10.6,5.0,84.64,4485.92
07/27/2020,4,Kim Ma,1,Yes,4,3,7,40.0,12.01,3.33,100.0,4000.0
07/27/2020,12,Long Bien,1,Yes,6,4,8,46.0,7.08,6.5,107.61,4950.06
