Date,District,Ward,Types of houses,Floors,Rooms,Area,Price (million)/m2,Total Price (million)
07/31/2020,-0.1539716179837311,901,3,-1.3536385750073934,0.12316058118968629,-0.03205752951882249,-0.6686522302143819,-0.07841484685992611
07/31/2020,-0.44140928800476187,801,2,-0.40240091323878513,-0.6516843351139304,-0.0449316726750571,-0.6080901484231441,-0.08662956648602478
08/03/2020,0.42090372205833043,1101,3,-0.40240091323878513,0.12316058118968629,-0.03205752951882249,-0.6047681776919791,-0.07413527716224197
08/05/2020,0.7083413920793612,1201,3,0.5488367485298231,0.12316058118968629,-0.029911838992783393,-0.17968369220791114,-0.04246577666822771
08/05/2020,-1.3037222980678542,501,3,-2.3048762367760016,-1.4265292514175472,-0.02454761267768564,-0.3066851886224478,-0.04418154175142323
08/05/2020,-1.0162846280468234,601,3,-0.40240091323878513,0.12316058118968629,-0.0406402916229789,-0.24573980251607563,-0.06214905835296824
07/28/2020,-1.0162846280468234,601,3,-0.40240091323878513,1.6728504137969196,-0.051368744253174406,-0.09369575751275694,-0.07071162140409466
07/31/2020,0.7083413920793612,1201,3,0.5488367485298231,-0.6516843351139304,-0.042785982149018,-0.2693769019493646,-0.06643205170641052
08/04/2020,0.995779062100392,1301,4,0.5488367485298231,0.12316058118968629,0.03553172205140919,1.7945890669444242,0.35382051144493537
07/29/2020,-0.44140928800476187,801,3,0.5488367485298231,0.12316058118968629,-0.04815020846411575,-0.5318125897113952,-0.08612064005757616
08/01/2020,0.42090372205833043,1101,3,0.5488367485298231,0.12316058118968629,-0.04815020846411575,-0.4952709116685809,-0.08440710035062345
07/28/2020,-0.44140928800476187,801,3,-0.40240091323878513,-0.6516843351139304,-0.042785982149018,-0.7964203352591875,-0.09467721171112585
07/29/2020,0.995779062100392,1301,2,-2.3048762367760016,-1.4265292514175472,-0.042785982149018,-0.28534791507996526,-0.06728796564594736
07/25/2020,-1.0162846280468234,601,3,-0.40240091323878513,-0.6516843351139304,-0.051368744253174406,0.9844115128553123,-0.02448952974449944
08/04/2020,-1.8785976381099156,304,3,-1.3536385750073934,-1.4265292514175472,-0.0406402916229789,-0.9911389273474711,-0.10409363450833421
08/03/2020,-0.7288469580257927,701,3,-0.40240091323878513,-0.6516843351139304,-0.06209719688336991,-0.23884032484365605,-0.0921081004302121
08/04/2020,-1.8785976381099156,304,3,-0.40240091323878513,0.12316058118968629,-0.039567446359959346,-0.7325362827367847,-0.08868581413436805
08/04/2020,-1.591159968088885,401,3,0.5488367485298231,-0.6516843351139304,-0.05887866109431126,-0.14480299953067916,-0.0844062444366839
08/04/2020,-0.1539716179837311,902,3,-1.3536385750073934,-0.6516843351139304,-0.037421755833920246,-0.7183540230768113,-0.0861189282296971
08/04/2020,-1.591159968088885,401,3,3.402549733835648,2.447695330100536,-0.02669330320372474,2.577807550869082,0.16551976999413032
08/03/2020,1.5706544021424536,1501,3,0.5488367485298231,-0.6516843351139304,-0.042785982149018,-0.14160879690455902,-0.0595847401901159
08/02/2020,-0.7288469580257927,701,3,0.5488367485298231,3.99738516270777,-0.04385882741203755,0.03739431826321362,-0.05187911817525374
06/09/2020,-0.44140928800476187,801,4,1.5000744102984314,3.222540246404153,-0.015964850573529234,0.059625968541009725,-0.0008690439378895046
08/01/2020,-1.591159968088885,401,3,-0.40240091323878513,0.12316058118968629,-0.03634891057090069,-0.02431767647342744,-0.04247022742071331
07/28/2020,-0.7288469580257927,701,3,-0.40240091323878513,-0.6516843351139304,-0.05887866109431126,-0.4003392096202903,-0.09296538383205219
08/01/2020,0.42090372205833043,1101,3,1.5000744102984314,-0.6516843351139304,-0.04815020846411575,-0.4770000726471736,-0.08355033049714708
06/09/2020,-1.0162846280468234,601,3,-0.40240091323878513,0.12316058118968629,-0.042785982149018,-0.41311602012477083,-0.07413527716224197
08/01/2020,0.42090372205833043,1101,3,1.5000744102984314,1.6728504137969196,-0.04815020846411575,-0.4770000726471736,-0.08355033049714708
08/04/2020,-0.44140928800476187,802,3,-0.40240091323878513,-0.6516843351139304,-0.05029589899015485,-0.5389676035939043,-0.08868667004830759
08/01/2020,-0.7288469580257927,702,3,-0.40240091323878513,-0.6516843351139304,-0.05029589899015485,-0.48083311579851773,-0.08611636048787849
08/03/2020,-0.1539716179837311,902,3,0.5488367485298231,0.12316058118968629,-0.05029589899015485,-0.24855070082706132,-0.075846420310164
07/31/2020,-1.591159968088885,401,3,0.5488367485298231,0.8980054974933029,-0.03205752951882249,0.31516217863062085,-0.012509473515590364
08/01/2020,0.42090372205833043,1101,3,0.5488367485298231,-0.6516843351139304,-0.053514434779213506,-0.05114897853283672,-0.0724251611110474
08/01/2020,0.42090372205833043,1101,3,0.5488367485298231,-0.6516843351139304,-0.053514434779213506,-0.05114897853283672,-0.0724251611110474
03/20/2020,0.995779062100392,1301,3,2.4513120720670396,0.8980054974933029,-0.0406402916229789,0.24092890959958876,-0.03476357830912371
07/30/2020,0.7083413920793612,1201,3,0.5488367485298231,0.8980054974933029,-0.02347476741466609,-0.5783201799477043,-0.06386328279107259
07/25/2020,0.42090372205833043,1101,3,-0.40240091323878513,0.12316058118968629,-0.037421755833920246,-0.2356461222175359,-0.05701614245756587
08/01/2020,-0.7288469580257927,702,3,-0.40240091323878513,0.12316058118968629,-0.02669330320372474,-0.44211937996994166,-0.0570144306296868
08/04/2020,-1.3037222980678542,501,3,0.5488367485298231,0.12316058118968629,-0.042785982149018,-0.4770000726471736,-0.07755893292038929
07/29/2020,-1.591159968088885,401,3,0.5488367485298231,-0.6516843351139304,-0.057805815831291706,-0.1969323863889598,-0.08457879668689453
